,Code,Title
379,1C1G.1Z,"Disseminated Lyme borreliosis, unspecified"
380,1C1G.Y,Other specified Lyme borreliosis
381,1C1G.Z,"Lyme borreliosis, unspecified"
382,1C1H,Necrotising ulcerative gingivitis
383,1C1H.0,Other Vincent infections
384,1C1H.Y,Other specified necrotising ulcerative gingivitis
385,1C1H.Z,"Necrotising ulcerative gingivitis, unspecified"
386,1C1J,Relapsing fever
387,1C1J.0,Tick-borne relapsing fever
388,1C1J.1,Louse-borne relapsing fever
389,1C1J.Z,"Relapsing fever, unspecified"
391,1C20,Chlamydial conjunctivitis
392,1C21,Chlamydial peritonitis
393,1C22,Infections due to Chlamydia psittaci
394,1C23,Trachoma
395,1C23.0,Initial stage of trachoma
396,1C23.1,Active stage of trachoma
397,1C23.Y,Other specified trachoma
398,1C23.Z,"Trachoma, unspecified"
399,1C2Y,Other specified diseases due to chlamydiae
400,1C2Z,"Diseases due to chlamydiae, unspecified"
402,1C30,Typhus fever
403,1C30.0,Epidemic louse-borne typhus fever due to Rickettsia prowazekii
404,1C30.1,Recrudescent typhus
405,1C30.2,Typhus fever due to Rickettsia typhi
406,1C30.3,Typhus fever due to Orientia tsutsugamushi
407,1C30.Y,Other specified typhus fever
408,1C30.Z,"Typhus fever, unspecified"
409,1C31,Spotted fever
410,1C31.0,Spotted fever due to Rickettsia rickettsii
411,1C31.1,Spotted fever due to Rickettsia conorii
412,1C31.2,Spotted fever due to Rickettsia sibirica
413,1C31.3,Spotted fever due to Rickettsia australis
414,1C31.Y,Other specified spotted fever
415,1C31.Z,"Spotted fever, unspecified"
416,1C32,Rickettsialpox
417,1C33,Q fever
418,1C3Y,Other specified rickettsioses
419,1C3Z,"Rickettsioses, unspecified"
420,1C40,Campylobacteriosis
421,1C41,Bacterial infection of unspecified site
422,1C42,Melioidosis
423,1C43,Actinomycetoma
424,1C44,Non-pyogenic bacterial infections of the skin
425,1C45,Toxic shock syndrome
426,1C45.0,Streptococcal toxic shock syndrome
427,1C45.1,Staphylococcal toxic shock syndrome
428,1C45.Y,Toxic shock syndrome due to other specified infectious agent
429,1C45.Z,Toxic shock syndrome without specified infectious agent
430,1C4Y,Other specified bacterial diseases
431,1C4Z,Unspecified bacterial disease
433,1C60,Human immunodeficiency virus disease associated with tuberculosis
434,1C60.0,HIV disease clinical stage 1 associated with tuberculosis
435,1C60.1,HIV disease clinical stage 2 associated with tuberculosis
436,1C60.2,HIV disease clinical stage 3 associated with tuberculosis
437,1C60.3,HIV disease clinical stage 4 associated with tuberculosis
438,1C60.30,Kaposi sarcoma associated with human immunodeficiency virus disease associated with tuberculosis
439,1C60.3Y,Other specified HIV disease clinical stage 4 associated with tuberculosis
440,1C60.3Z,"HIV disease clinical stage 4 associated with tuberculosis, unspecified"
441,1C60.Z,"Human immunodeficiency virus disease associated with tuberculosis, clinical stage unspecified"
442,1C61,Human immunodeficiency virus disease associated with malaria
443,1C61.0,HIV disease clinical stage 1 associated with malaria
444,1C61.1,HIV disease clinical stage 2 associated with malaria
445,1C61.2,HIV disease clinical stage 3 associated with malaria
446,1C61.3,HIV disease clinical stage 4 associated with malaria
447,1C61.30,Kaposi sarcoma associated with human immunodeficiency virus disease associated with malaria
448,1C61.3Y,Other specified HIV disease clinical stage 4 associated with malaria
449,1C61.3Z,"HIV disease clinical stage 4 associated with malaria, unspecified"
450,1C61.Z,"Human immunodeficiency virus disease associated with malaria, clinical stage unspecified"
451,1C62,Human immunodeficiency virus disease without mention of tuberculosis or malaria
452,1C62.0,HIV disease clinical stage 1 without mention of tuberculosis or malaria
453,1C62.1,HIV disease clinical stage 2 without mention of tuberculosis or malaria
454,1C62.2,HIV disease clinical stage 3 without mention of tuberculosis or malaria
455,1C62.3,HIV disease clinical stage 4 without mention of tuberculosis or malaria
456,1C62.30,Kaposi sarcoma associated with human immunodeficiency virus disease without mention of tuberculosis or malaria
457,1C62.3Y,Other specified HIV disease clinical stage 4 without mention of tuberculosis or malaria
458,1C62.3Z,"HIV disease clinical stage 4 without mention of tuberculosis or malaria, unspecified"
459,1C62.Z,"Human immunodeficiency virus disease without mention of tuberculosis or malaria, clinical stage unspecified"
461,1C80,"Viral encephalitis, not elsewhere classified"
462,1C81,Acute poliomyelitis
463,1C82,Rabies
464,1C83,Western equine encephalitis
465,1C84,Eastern equine encephalitis
466,1C85,Japanese encephalitis
467,1C86,St Louis encephalitis
468,1C87,Rocio viral encephalitis
469,1C88,Murray Valley encephalitis
470,1C8B,California encephalitis
471,1C8C,Venezuelan equine encephalitis
472,1C8D,La Crosse encephalitis
473,1C8E,"Viral meningitis, not elsewhere classified"
474,1C8E.1,Enteroviral meningitis
475,1C8E.2,Meningitis due to adenovirus
476,1C8E.Y,"Other specified viral meningitis, not elsewhere classified"
477,1C8E.Z,"Viral meningitis, unspecified"
478,1C8F,Lymphocytic choriomeningitis
479,1C8G,Tick-borne encephalitis
480,1C8G.0,Far Eastern tick-borne encephalitis
